,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
169,169,Railroad Fire,2021-08-29T12:50:00Z,San Bernardino,61.0,0.0,0.0,0.0,9.26,73.03,17.71,20210831.0,San Bernardino County
170,170,Knob Fire,2021-08-29T08:00:00Z,Humboldt,2421.0,0.0,0.0,0.0,27.91,72.09,0.0,20210831.0,Humboldt County
171,171,K-Rail,2021-08-30T13:30:00Z,Humboldt,16.0,0.0,0.0,0.0,27.91,72.09,0.0,20210831.0,Humboldt County
172,172,Lassen Fire,2021-09-01T14:27:00Z,Marin,44.0,0.0,0.0,0.0,0.0,0.0,100.0,20210831.0,Marin County
173,173,Lawrence Fire,2021-09-05T10:40:20Z,Amador,46.0,0.0,0.0,0.0,0.0,14.91,85.09,20210907.0,Amador County
174,174,Bridge Fire,2021-09-05T12:53:14Z,Placer,411.0,0.0,0.0,0.0,0.0,44.02,55.98,20210907.0,Placer County
175,175,Aruba Fire,2021-09-05T15:50:14Z,San Diego,54.0,0.0,0.0,92.26,7.74,0.0,0.0,20210907.0,San Diego County
176,176,Caballo Fire,2021-09-06T14:54:06Z,Santa Barbara,70.0,0.0,0.0,0.04,0.0,99.57,0.39,20210907.0,Santa Barbara County
177,177,Route Fire,2021-09-11T16:06:47Z,Los Angeles,464.0,0.0,0.0,1.41,0.01,78.59,19.99,20210914.0,Los Angeles County
178,178,Hopkins Fire,2021-09-12T14:15:09Z,Mendocino,257.0,0.0,0.0,0.0,0.0,51.53,48.47,20210914.0,Mendocino County
179,179,Windy Fire,2021-09-09T12:00:00Z,Tulare,,0.0,0.0,0.0,0.0,0.0,100.0,20210907.0,Tulare County
180,180,KNP Complex,2021-09-10T07:00:00Z,Tulare,,0.0,0.0,0.0,0.0,0.0,100.0,20210914.0,Tulare County
181,181,Emigrant Fire,2021-09-17T13:34:00Z,Los Angeles,,0.0,0.0,1.41,0.01,78.59,19.99,20210921.0,Los Angeles County
182,182,Childrens Fire,2021-09-19T11:40:00Z,Madera,42.0,0.0,0.0,0.0,0.0,0.0,100.0,20210921.0,Madera County
183,183,University Fire,2021-09-22T11:27:08Z,San Bernardino,71.0,0.0,0.0,0.0,9.26,86.06,4.68,20210921.0,San Bernardino County
184,184,Fremont Fire,2021-09-22T14:25:00Z,Napa,116.0,0.0,0.0,0.0,0.0,0.0,100.0,20210921.0,Napa County
185,185,Fremont Fire,2021-09-22T14:25:00Z,Sonoma,116.0,0.0,0.0,0.0,0.0,0.0,100.0,20210921.0,Sonoma County
186,186,Fawn Fire,2021-09-22T16:45:00Z,Shasta,8578.0,0.0,0.0,0.0,0.0,9.9,90.1,20210921.0,Shasta County
187,187,Maxwell Fire,2021-10-05T15:34:31Z,Trinity,80.0,0.0,0.0,0.0,0.0,99.94,0.06,20211005.0,Trinity County
188,188,View Fire ,2021-10-11T14:35:42Z,Tehama,24.0,0.0,0.0,0.0,0.0,16.18,83.82,20211012.0,Tehama County
189,189,Kettle Fire,2021-10-11T18:43:59Z,Kings,447.0,0.0,0.0,0.0,0.0,0.0,100.0,20211012.0,Kings County
190,190,Newell Fire,2021-10-11T20:02:23Z,Napa,132.0,0.0,0.0,0.0,0.0,0.0,100.0,20211012.0,Napa County
191,191,Alisal Fire,2021-10-11T14:30:12Z,Santa Barbara,,0.0,0.0,0.04,0.0,99.57,0.39,20211012.0,Santa Barbara County
192,192,Canal Fire ,2021-10-14T16:49:00Z,Trinity,59.0,0.0,0.0,0.0,0.0,99.94,0.06,20211012.0,Trinity County
193,193,Gravel Fire,2021-10-15T15:15:00Z,Modoc,200.0,0.0,0.0,0.0,0.0,85.14,14.86,20211019.0,Modoc County
194,194,Estrada Fire,2021-10-15T14:40:39Z,Santa Cruz,148.0,0.0,0.0,0.0,0.0,100.0,0.0,20211019.0,Santa Cruz County
